id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp,Timestamp
1975,Chainlink,LINK,chainlink,1877,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",,626849970.4527867,1000000000.0,False,,15,,,,2024-11-18T05:12:00.000Z,14.28929518849215,524710258.90486073,-39.1787,-0.67028388,-0.28447907,1.03330986,24.67480542,29.07837738,36.48039372,8957244266.697453,0.2935,14289295188.49,,2024-11-18T05:12:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,,2024-11-18 12:12:52.453938
1,Bitcoin,BTC,bitcoin,11800,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19783778.0,19783778.0,False,,1,,,,2024-11-18T05:18:00.000Z,90528.3918972422,43447587761.72575,-4.1718,-0.05353915,-0.21919123,11.48442351,32.40007547,45.80038083,48.02998225,1790993607992.0383,58.6922,1901096229842.09,,2024-11-18T05:18:00.000Z,,,,,,2024-11-18 12:19:29.274814,
1027,Ethereum,ETH,ethereum,9562,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate']",,120424008.02826612,120424008.02826612,True,,2,,,,2024-11-18T05:18:00.000Z,3103.4377757180364,25212355351.74449,-13.7056,-0.19298724,-0.39160584,-1.69780148,17.33063063,28.47674787,15.35402403,373728415618.29315,12.2474,373728415618.29,,2024-11-18T05:18:00.000Z,,,,,,2024-11-18 12:19:29.274814,
825,Tether USDt,USDT,tether,103750,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,127539192697.57086,129825664180.66248,True,,3,,,,2024-11-18T05:18:00.000Z,1.0000763525291125,119694176689.8317,-15.7732,0.00969783,-0.00421519,-0.06135844,0.02052258,-0.01229458,-0.04860194,127548930637.4943,4.1799,129835576698.47,,2024-11-18T05:18:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-11-18 12:19:29.274814,
5426,Solana,SOL,solana,787,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,474603626.3044614,588576448.9152458,True,,4,,,,2024-11-18T05:18:00.000Z,242.88773056131765,8765224584.283377,28.58,-0.31854737,2.05911456,17.70377073,57.17571083,74.90966919,63.91544777,115275397709.26231,3.7777,142957997938.86,,2024-11-18T05:18:00.000Z,,,,,,2024-11-18 12:19:29.274814,
1839,BNB,BNB,bnb,2282,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,144098718.41805625,144098718.41805625,False,,5,,,,2024-11-18T05:19:00.000Z,624.6233857361685,2274004098.3508835,-3.7058,-0.47926142,-0.98543335,-0.75980824,4.45944655,11.22104315,9.27659672,90007429378.52908,2.9496,90007429378.53,,2024-11-18T05:19:00.000Z,,,,,,2024-11-18 12:19:29.274814,
52,XRP,XRP,xrp,1430,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,56931242174.0,99987013354.0,False,,6,,,,2024-11-18T05:19:00.000Z,1.1595319748092099,10894052475.680872,-54.2257,2.9463309,11.8312908,98.37836874,112.13134484,97.26053437,90.98828817,66013595666.3596,2.1631,115953197480.92,,2024-11-18T05:19:00.000Z,,,,,,2024-11-18 12:19:29.274814,
74,Dogecoin,DOGE,dogecoin,1101,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,146837846383.70526,146837846383.70526,True,,7,,,,2024-11-18T05:18:00.000Z,0.3712639645232693,6968374977.278622,-16.1094,-0.09443103,4.66063443,29.56598588,159.35578592,256.19065267,252.53924837,54515600990.47322,1.7865,54515600990.47,,2024-11-18T05:18:00.000Z,,,,,,2024-11-18 12:19:29.274814,
3408,USDC,USDC,usd-coin,23134,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'solana-ecosystem', 'hedera-hashgraph-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'base-ecosystem', 'fiat-stablecoin']",,37125705016.11378,37125705016.11378,False,,8,,,,2024-11-18T05:18:00.000Z,0.9999262044532293,7398160085.954223,-4.3155,0.00333035,-0.0029701,-0.00772376,0.00454713,-0.01041165,-0.00091805,37122965304.412865,1.2165,37122965304.41,,2024-11-18T05:18:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-11-18 12:19:29.274814,
2010,Cardano,ADA,cardano,1352,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35033776787.310196,44995037803.61046,False,,9,,,,2024-11-18T05:19:00.000Z,0.7488767845094542,1776124102.6906247,-65.7124,1.00744358,4.82613056,27.92519045,111.55452725,114.66903752,117.25036761,26235982109.702816,0.86,33699455302.93,,2024-11-18T05:19:00.000Z,,,,,,2024-11-18 12:19:29.274814,
